cliente_id,nome,cpf,data_cadastro,data_cancelamento,cidade,estado,plano,valor_mensalidade,notificacoes_7d,transacoes_30d,ticket_medio_30d,abriu_chamado,tempo_resposta_chamado_h,churn_30d
CLI005885,Thiago Barbosa,746.705.376-35,21/09/2025,,Curitiba,Paraná,Básico,"19,90",12,25.0,84.88,False,,False
CLI005559,Camila Souza,629.617.008-49,2025-05-06,,Floriano,PI,Básico,19.90,11,,0.0,True,6.3,False
CLI005757,helena vieira,37973361975,17/03/2025,23/04/2026,Sorocaba,SP,Básico,"19,90",1,1.0,108.84,False,,True
CLI001248,Fernanda Souza,574.005.341-25,2026-03-06,,Palmas,TO,Premium,49.90,1,60.0,79.36,False,,False
CLI006188,Matheus Barbosa,114.528.963-41,30-05-25,,Estância,SE,Básico,"19,90",6,27.0,115.15,False,,False
CLI007075,Rodrigo Marques,86888032646,20-08-25,23/04/2026,Bragança,PA,Básico,"19,90",12,28.0,164.52,sim,28.9,True
CLI004760,Tiago Oliveira,94830943326,2024-05-25,,Aracaju,SE,Básico,"19,90",9,16.0,88.05,False,,False
CLI001938,Maria Marques,220.817.536-33,2026-01-03,,Itabaiana,SE,Premium,"R$ 49,90",9,,0.0,False,,False
CLI005538,Elaine Silva,34743768152,12/08/2025,,São Paulo,SP,Básico,"R$ 19,90",5,43.0,123.15,True,6.9,False
CLI004402,Ricardo Castro,26649656324,14-07-25,,Garanhuns,PE,Básico,19.90,1,56.0,63.97,False,,False
CLI000501,Olívia Mendes,446.432.662-04,19/05/2024,,Guarulhos,SP,Básico,19.90,1,0.0,0.0,True,23.1,False
CLI009131,Clara Araújo,60387993275,28/10/2025,,Bragança,PA,Básico,"19,90",9,6.0,159.5,False,,False
CLI002292,Eduardo Ferreira,279.516.277-76,09/12/2025,,Porto Alegre,RS,Premium,49.90,6,54.0,40.12,False,,False
CLI008686,Yasmin Rocha,625.414.038-22,19/04/2025,,São Gonçalo,RJ,Premium,"49,90",8,64.0,165.22,True,5.2,False
CLI007910,Daniel Moreira,97347035973,02/01/2024,,Nova Iguaçu,RJ,Básico,19.90,12,20.0,60.69,False,,False
CLI003543,João Ferreira,26345420813,2024-02-02,,Maringá,PR,Básico,"R$ 19,90",11,27.0,51.11,False,,False
CLI005355,Amanda Rodrigues,06864818273,2024-06-29,,Salvador,BA,Básico,"19,90",3,13.0,163.61,False,,False
CLI006932,Mariana Gomes ,056.481.759-26,2025-11-24,17/04/2026,Caicó,RN,Básico,19.90,0,15.0,32.95,False,,True
CLI007903,Gabriela Oliveira,96025690153,20/06/2024,2026-04-02,Cajazeiras,Paraíba,Premium,49.90,9,44.0,388217.95,sim,40.0,True
CLI003681,Rafael Mendes,075.115.366-69,18-02-25,,Maringá,PR,Premium,"49,90",11,44.0,150.93,False,,False
CLI009351,Rodrigo Barbosa,166.899.119-35,27/02/2025,,Nova Iguaçu,RJ,Premium,49.90,3,38.0,34.31,False,,False
CLI000451,Olívia Cavalcanti,473.285.014-93,09/09/2024,12/04/2026,Juiz de Fora,MG,Premium,49.90,1,32.0,20.0,não,,True
CLI005497,Clara Castro,69604001385,2025-08-19,,Patos,PB,Básico,19.90,0,33.0,230.59,False,,False
CLI004131,Elaine Barbosa,293.918.777-96,22-03-26,,Salvador,BA,Premium,"49,90",6,44.0,41.32,False,,False
CLI001693,Fernanda Araújo,82312205169,24/05/2024,,Salvador,BA,Básico,"19,90",8,6.0,476243.47,False,,False
CLI003195,Otávio Cardoso,036.797.357-23,2025-09-11,2026-04-09,Pelotas,RS,Premium,"R$ 49,90",2,44.0,146.97,True,5.7,True
CLI002459,Otávio Nunes,838.982.066-15,2024-01-21,,Natal,RN,Básico,19.90,2,40.0,87.99,não,,False
CLI001570,Thiago Almeida,062.160.902-44,17-07-25,,Campo Grande,MS,Premium,49.90,11,60.0,245.94,True,23.8,False
CLI009132,Yasmin Araújo,63150599656,05/09/2025,,Palmas,TO,basic,"19,90",0,,0.0,True,2.7,False
CLI007693,Felipe Gomes,997.132.856-40,11/01/2024,,Maringá,PR,Básico,"19,90",12,19.0,260.15,False,,False
CLI009447,Maria Pinto,127.490.532-69,24/01/2024,,São José dos Campos,SP,Básico,"R$ 19,90",11,21.0,259.58,False,,False
CLI008077,Marcos Marques,276.970.264-71,04/04/2025,,Santo André,SP,Premium,"49,90",10,59.0,34.47,False,,False
CLI007838,Rodrigo Marques,973.150.865-93,06/11/2024,30-04-26,Floriano,PI,Básico,"R$ 19,90",11,11.0,174.17,True,10.6,True
CLI004355,Letícia Pereira,03558228966,03-06-25,,Janaúba,MG,BÁSICO,"19,90",5,,0.0,False,,False
CLI009756,Amanda Costa,793.115.404-05,02/03/2026,2026-04-05,Nova Iguaçu,RJ,Premium,"49,90",7,,0.0,False,,True
CLI006189,João Martins,652.489.605-09,23-10-25,,Juiz de Fora,MG,Básico,"19,90",4,0.0,0.0,False,,False
CLI000705,Elaine Carvalho,192.564.206-81,28/03/2024,,Belo Horizonte,MG,Básico,19.90,11,,0.0,False,,False
CLI001184,Leonardo Almeida,068.993.199-25,01-04-24,,Guarulhos,SP,Básico,19.90,7,6.0,167.49,sim,9.9,False
CLI003291,Larissa Gomes,697.848.797-59,2024-04-12,,Joinville,SC,Básico,"R$ 19,90",0,18.0,74.15,sim,2.7,False
CLI003007,Rodrigo Dias,288.036.655-79,05/07/2025,,Quixadá,CE,premium,"49,90",7,33.0,50.29,False,,False
CLI004510,Guilherme Barbosa,576.941.885-62,2025-03-26,,São Paulo,SP,Premium,"49,90",3,61.0,193.32,False,,False
CLI006426,Júlio Carvalho,357.623.857-75,08/06/2024,,João Pessoa,PB,Premium,49.90,8,60.0,111.11,True,81.5,False
CLI005412,Patrícia Gomes,768.021.070-85,05/03/2025,11/04/2026,Garanhuns,PE,Básico,19.90,12,,0.0,False,,True
CLI004824,Vanessa Carvalho,07632936060,30/01/2026,11/04/2026,Floriano,PI,Premium,"49,90",4,52.0,34.66,False,,True
CLI001732,camila dias,764.386.425-52,02/01/2024,,Juiz de Fora,MG,Premium,"49,90",1,55.0,151.94,False,,False
CLI000036,Ricardo Cavalcanti,736.913.516-54,2025-04-01,,Floriano,PI,Premium,"49,90",9,45.0,180.3,False,,False
CLI000577,João Ribeiro,44282702475,2024-12-08,,Estância,SE,Premium,49.90,5,,0.0,True,1.8,False
CLI001514,Júlio Moreira,412.464.245-75,04/01/2024,12/04/2026,Manaus,AM,Premium,"49,90",11,17.0,206.11,True,53.5,True
CLI003321,Diego Castro,17172090349,28-02-26,,Guarulhos,SP,Básico,19.90,10,21.0,59.61,False,,False
CLI000040,Natália Pereira,637.546.027-50,28-01-24,,Aracaju,SE,Básico,"19,90",1,32.0,94.06,sim,5.5,False
CLI002761,  Bruna Araújo  ,990.913.155-65,31/07/2024,,Bragança,PA,Básico,"R$ 19,90",8,33.0,842658.79,False,,False
CLI008493,Rafaela Pinto,08411147924,13/03/2024,,Itabaiana,SE,Premium,"49,90",12,48.0,155.43,True,61.3,False
CLI009789,Thiago Marques,28021943419,14/07/2025,2026-04-27,São Paulo,SP,Básico,"19,90",3,10.0,108.18,False,,True
CLI005932,Natália Moreira,509.230.133-03,2025-05-06,,Campinas,SP,Básico,19.90,3,29.0,30.8,False,,False
CLI004098,Juliana Almeida,182.693.317-86,25/06/2024,,Maringá,PR,Básico,19.90,3,21.0,99.59,False,,False
CLI005793,Natália Araújo,61710724551,05/07/2024,,Ribeirão Preto,SP,Premium,"49,90",7,31.0,49.51,False,,False
CLI005704,Larissa Castro,183.173.578-54,2025-07-29,,Belém,PA,Básico,"R$ 19,90",6,14.0,168.45,False,,False
CLI004424,Daniel Souza,00191353585,2024-11-28,,Londrina,PR,Básico,19.90,1,26.0,63.58,False,,False
CLI003621,Sabrina Castro,26236427885,22/01/2026,,Pirapora,MG,Básico,"19,90",4,16.0,125.52,True,1.8,False
CLI000488,Daniela Silva,101.755.054-08,02-07-24,,Florianópolis,SC,Premium,49.90,12,51.0,20.6,False,,False
CLI001442,Letícia Pinto,740.379.845-74,2025-07-05,,Belém,PA,Basico,19.90,12,21.0,90.89,True,67.9,False
CLI003394,Amanda Santos,757.624.438-86,23/02/2026,,Aracaju,SE,Básico,19.90,5,24.0,66.39,True,17.8,False
CLI006302,Karina Gomes,278.235.293-07,2025-11-05,,Sorocaba,SP,Básico,"R$ 19,90",8,0.0,0.0,False,,False
CLI008780,Mariana Cavalcanti,662.165.927-75,31/07/2025,,Osasco,SP,Básico,19.90,1,0.0,0.0,False,,False
CLI004562,João Ferreira,877.376.526-15,28/02/2026,,Bragança,PA,Básico,"19,90",12,3.0,95.62,False,,False
CLI007504,Eduardo Lima,965.559.058-70,19/12/2025,,Palmas,TO,Básico,19.90,10,42.0,129.08,False,,False
CLI004555,Diego Cardoso,85491413358,20/01/2026,,Florianópolis,SC,Básico,19.90,11,,0.0,False,,False
CLI002276,Ricardo Martins,261.291.627-95,03/12/2024,,São Gonçalo,RJ,Básico,19.90,0,15.0,56.42,não,,False
CLI008502,Leonardo Costa,721.698.300-24,12/08/2024,09/04/2026,Pelotas,RS,Premium,"49,90",7,25.0,47.1,True,54.2,True
CLI002587,Débora Dias,174.609.846-68,2024-08-25,,Maringá,PR,Premium,"R$ 49,90",8,42.0,144.61,sim,3.8,False
CLI007170,Yasmin Lima,837.302.584-43,2026-01-13,07/04/2026,São Gonçalo,RJ,Premium,49.90,1,30.0,22.85,não,,True
CLI004265,Henrique Oliveira,061.220.491-95,25/05/2024,,Joinville,SC,Basico,19.90,0,19.0,52.35,False,,False
CLI003884,Rodrigo Castro,69394330114,10/06/2024,,Joinville,SC,Premium,"49,90",3,33.0,494431.25,False,,False
CLI009936,Camila Almeida,63780386509,2024-07-28,,Ribeirão Preto,SP,Premium,49.90,2,25.0,857940.53,False,,False
CLI005437,Yasmin Marques,919.980.868-47,03/03/2024,2026-04-12,Brasília,DF,Básico,"19,90",1,41.0,80.36,False,,True
CLI008355,Ricardo Cavalcanti,370.415.786-63,29/05/2024,,Pirapora,MG,Básico ,"R$ 19,90",1,16.0,76.1,True,13.4,False
CLI003486,Rodrigo Ferreira,64132514317,11/05/2024,,Curitiba,PR,Básico,"19,90",4,10.0,58.01,False,,False
CLI002475,Fernanda Castro,10241654848,16-04-25,,Caicó,RN,Premium,49.90,10,75.0,70.92,False,,False
CLI003285,Vítor Almeida,786.500.954-77,22-01-24,,Brasília,DF,Premium,"49,90",11,43.0,41.95,False,,False
CLI001661,André Ferreira,042.405.405-30,2025-01-14,,Juiz de Fora,MG,Premium,49.90,0,45.0,33.83,não,,False
CLI008576,André Rodrigues,97168115441,23/06/2024,2026-04-03,Salvador,BA,Premium,49.90,9,30.0,40.11,True,66.6,True
CLI001742,Bruna Moreira,54849198831,2025-08-19,,Brasília,DF,básico,"19,90",0,4.0,71.2,False,,False
CLI007208,Gabriel Gomes,329.213.566-24,28/12/2024,,Manaus,AM,Básico,"19,90",0,21.0,245388.8,True,18.7,False
CLI000800,Thiago Oliveira,45118426498,21/05/2025,2026-04-03,Itabaiana,SE,Básico,"R$ 19,90",0,20.0,66.73,True,27.3,True
CLI003060,Leonardo Cardoso,485.688.779-99,2025-01-05,,Duque de Caxias,RJ,Básico,19.90,0,15.0,71.91,True,78.0,False
CLI009941,Natália Castro,99162676960,2024-07-18,25-04-26,Goiânia,GO,Premium,"49,90",1,27.0,140.75,False,,True
CLI003686,Rodrigo Souza,272.870.987-23,25/10/2024,,Juiz de Fora,MG,Premium,"R$ 49,90",0,,0.0,False,,False
CLI007601,Mariana Mendes,693.893.011-06,30/09/2025,2026-04-17,Iguatu,CE,Básico,19.90,7,5.0,19.42,False,,True
CLI003383,Camila Santos,62306634386,2025-06-30,,Floriano,PI,Premium,"49,90",0,19.0,303.97,False,,False
CLI001409,Marcelo Costa,203.205.136-66,27-08-24,,Porto Alegre,Rio Grande do Sul,Premium,49.90,0,58.0,209.65,False,,False
CLI001544,Guilherme Pinto,393.257.492-62,2024-07-21,,Bragança,PA,Básico,"19,90",5,,0.0,False,,False
CLI003008, Rodrigo Nunes,562.275.365-43,16/11/2025,,Pirapora,MG,Básico,"19,90",8,7.0,127.61,False,,False
CLI005810,Maria Pereira,709.092.097-76,07-01-26,,Recife,PE,Básico,"R$ 19,90",10,32.0,72.94,não,,False
CLI000625,Olívia Carvalho,656.602.072-52,2024-05-07,,Caicó,RN,Básico,"19,90",11,12.0,164.36,False,,False
CLI000108,Igor Cardoso,871.127.291-10,2025-04-05,,Salinópolis,PA,Básico,"19,90",4,18.0,122.04,False,,False
CLI004413,Natália Cardoso,00253850614,14/06/2025,,Guarulhos,SP,Básico,19.90,9,0.0,0.0,True,89.3,False
CLI004476,Helena Dias,10520794941,21/09/2024,,Palmas,TO,Básico,"R$ 19,90",10,23.0,89.19,False,,False
CLI002302,Rodrigo Barbosa,22445010375,19/10/2025,,Pelotas,RS,Premium,"49,90",12,43.0,40.19,False,,False
CLI003699,Bruna Martins,03684639348,01/12/2025,,Campo Grande,MS,Básico,"19,90",4,13.0,140.71,False,,False
CLI002649,Elaine Gomes,71541651188,02/03/2025,,Contagem,MG,Básico,19.90,11,22.0,185.39,False,,False
CLI001766,Helena Mendes,093.106.410-01,2025-12-28,,São José dos Campos,SP,Básico,19.90,12,,0.0,True,15.9,False
CLI001924,Rafael Carvalho,135.666.175-82,03/10/2024,,Belém,PA,Premium,"R$ 49,90",0,48.0,706011.45,True,10.7,False
CLI002626,Marcelo Nunes,764.532.712-66,22-09-25,,Joinville,SC,Premium,"49,90",6,53.0,30.11,False,,False
CLI001863,Eduarda Castro,772.992.023-51,18/12/2024,,Palmas,TO,Premium,49.90,0,45.0,108.57,não,,False
CLI000519,Thiago Nunes,503.782.972-19,04/11/2025,08-04-26,Natal,RN,Premium,"49,90",9,,0.0,True,27.1,True
CLI008486,Karina Santos,609.102.223-97,2024-05-11,,Curitiba,PR,Premium,49.90,0,32.0,24.32,não,,False
CLI009845,Marcelo Oliveira,703.725.544-49,17/05/2025,04-04-26,São Paulo,SP,Premium,"49,90",1,54.0,125.11,True,82.4,True
CLI009713,Mariana Martins ,411.004.012-64,28/11/2024,,Contagem,MG,Básico,"R$ 19,90",11,26.0,53.43,True,60.5,False
CLI007473,Tiago Rocha,78915355076,01/01/2024,,Juiz de Fora,MG,Básico,"19,90",9,30.0,118.9,True,20.2,False
CLI001454,Karina Araújo,299.099.571-33,24-03-25,,Bragança,PA,Básico,19.90,12,9.0,61.58,False,,False
CLI003150,Carla Gomes,789.333.737-66,08-11-24,,Belo Horizonte,MG,Premium,"49,90",4,57.0,12.71,não,,False
CLI006179,Guilherme Rodrigues,637.082.115-03,2025-10-14,,Campo Grande,MS,Básico,19.90,10,20.0,183.08,False,,False
CLI004837,João Oliveira,465.374.370-03,2024-08-31,04-04-26,São José dos Campos,SP,basic,19.90,10,,0.0,True,22.6,True
CLI000583,Isabela Dias,351.298.377-01,25/11/2025,,Pelotas,RS,Básico,"19,90",0,19.0,43.18,False,,False
CLI006827,Larissa Costa,252.954.018-93,15-01-26,,Patos,PB,Básico,"19,90",5,39.0,51.67,True,23.5,False
CLI003207,Tiago Souza,414.382.923-55,18-02-24,,São Paulo,SP,Básico,"19,90",6,25.0,37.36,False,,False
CLI005609,Bianca Dias,774.955.199-63,2024-12-22,,Porto Alegre,RS,Básico,"19,90",8,,0.0,False,,False
CLI007712,Gabriel Vieira,989.531.470-15,2024-02-16,,Natal,RN,Premium,"49,90",0,37.0,96.36,False,,False
CLI001225,Amanda Araújo,296.253.964-02,2024-09-16,,João Pessoa,PB,BÁSICO,19.90,9,11.0,168.99,True,19.9,False
CLI006750,Bruna Costa,447.103.409-56,24/02/2026,,São Bernardo do Campo,SP,Básico,19.90,7,22.0,28.13,False,,False
CLI008145,Lucas Marques,753.872.339-37,28-03-26,,Londrina,PR,Básico,19.90,4,69.0,106.53,False,,False
CLI007523,Daniel Ribeiro,659.043.656-11,2025-01-07,,Floriano,PI,Premium,"49,90",2,59.0,153.43,não,,False
CLI009249,Débora Martins,61680363038,2025-07-03,2026-04-29,Floriano,PI,Básico,"19,90",1,35.0,55.6,False,,True
CLI008243,Helena Martins,073.989.048-98,2026-01-13,,Belo Horizonte,MG,Básico,19.90,7,16.0,449760.66,False,,False
CLI005951,Felipe Ribeiro,38484818361,18-02-24,,Bragança,PA,básico,"19,90",8,,0.0,True,22.0,False
CLI007145,Bruna Moreira,20235547203,2024-02-07,,Belo Horizonte,MG,Premium,"49,90",3,,0.0,False,,False
CLI008896,Mariana Martins,101.793.043-82,16/10/2025,09/04/2026,Floriano,PI,Básico,"19,90",12,,0.0,True,69.7,True
CLI009964,André Araújo,154.703.114-42,02/07/2024,,Uberlândia,MG,Básico ,"19,90",1,36.0,187.0,False,,False
CLI004158,Marcelo Cardoso,566.456.292-82,17-07-24,,Ribeirão Preto,SP,Premium,"49,90",3,88.0,23.52,False,,False
CLI007330, Sérgio Martins,211.640.925-56,2025-11-06,,Salvador,BA,Premium,49.90,10,24.0,59.44,False,,False
CLI005211,Daniela Barbosa,304.249.025-84,18-11-25,,Londrina,PR,Básico,"19,90",8,7.0,116.09,não,,False
CLI003038,Rafaela Costa,41150375570,29-11-24,,São Gonçalo,RJ,Premium,"R$ 49,90",6,91.0,56.64,False,,False
CLI000097,Helena Rodrigues,177.616.156-97,2024-06-30,,Salinópolis,PA,Premium,"R$ 49,90",12,51.0,88.36,False,,False
CLI008104,Natália Almeida,891.872.123-51,11/03/2024,,Santo André,SP,Premium,49.90,11,61.0,17.44,False,,False
CLI002305,Ricardo Rodrigues,269.743.984-16,06/08/2024,,Pelotas,RS,Premium,"49,90",11,,0.0,False,,False
CLI009354,Bruno Moreira,492.565.773-07,2025-09-05,,Cuiabá,MT,Básico,"19,90",6,24.0,6.6,True,83.1,False
CLI000120,Vanessa Martins,370.392.972-72,26/11/2025,,Belo Horizonte,MG,Premium,"49,90",7,8.0,85.85,False,,False
CLI008938,André Almeida,293.426.272-14,2025-05-18,2026-04-04,Caxias do Sul,RS,Básico,"19,90",5,32.0,16.96,sim,83.9,True
CLI006058,Felipe Marques,106.808.195-10,2025-04-14,,Iguatu,CE,Premium,"R$ 49,90",11,52.0,37.08,True,8.7,False
CLI000034,Marcelo Oliveira,466.424.907-80,14/12/2025,,João Pessoa,PB,Básico,"19,90",8,31.0,80.41,True,18.6,False
CLI007017,Tatiane Rodrigues,337.812.020-38,2025-03-21,,Cuiabá,MT,Básico,19.90,2,22.0,27.05,False,,False
CLI004490,Marcelo Martins,884.665.125-56,14/02/2026,,Salinópolis,PA,Premium,49.90,2,,0.0,False,,False
CLI001887,Lucas Santos,702.668.876-20,10/05/2025,,Palmas,TO,Premium,"R$ 49,90",12,31.0,44.42,False,,False
CLI008679,Yasmin Nunes,850.954.628-47,07/03/2025,,Maceió,AL,BÁSICO,19.90,2,25.0,65.38,False,,False
CLI007221,Carla Carvalho,167.365.065-77,25-02-25,,São José dos Campos,SP,Premium,49.90,7,64.0,136.93,False,,False
CLI007259,Natália Pinto,05404675722,23/03/2025,,Contagem,MG,Básico,"R$ 19,90",5,23.0,185.39,False,,False
CLI001146,Yasmin Almeida,907.251.386-44,05/01/2025,,Teresina,PI,Básico,"19,90",6,18.0,114.59,False,,False
CLI002681,Guilherme Dias,054.145.061-28,02/10/2024,12/04/2026,Palmas,TO,Básico,"19,90",0,,0.0,False,,True
CLI009975,Amanda Cardoso,99247349764,08/08/2025,,Palmas,TO,Premium,"49,90",2,,0.0,False,,False
CLI003035,Ana Gomes,262.934.514-42,2025-04-28,,São Gonçalo,RJ,Básico,"19,90",6,2.0,45.68,False,,False
CLI006548,Eduarda Almeida,803.609.159-98,31/05/2025,,Nova Iguaçu,RJ,Básico,"19,90",6,6.0,74.73,True,14.0,False
CLI001122,Daniel Rocha,206.878.650-18,11-07-24,30-04-26,Campinas,SP,Básico,"19,90",12,35.0,144.22,False,,True
CLI004152,André Gomes,019.681.848-41,27/07/2025,,Janaúba,MG,Básico,"19,90",12,28.0,11.53,True,48.0,False
CLI000032,Diego Araújo,561.853.000-38,2026-03-15,,São José dos Campos,SP,Básico,19.90,12,39.0,94.62,False,,False
CLI005697,Otávio Lima,657.092.986-76,04/09/2024,,Contagem,MG,Premium,"49,90",12,54.0,49.56,True,38.3,False
CLI005295,Vítor Mendes,858.132.323-69,08-09-24,,Maceió,AL,Básico,"R$ 19,90",7,27.0,243.04,False,,False
CLI000030,Mariana Silva,532.947.825-68,29/01/2026,,Iguatu,CE,premium,"49,90",5,50.0,697477.49,False,,False
CLI007744,Rodrigo Rocha,148.341.110-49,27-01-26,,Vitória,ES,Básico,19.90,1,14.0,190.51,False,,False
CLI000762,Amanda Barbosa,580.991.811-44,2024-01-09,,São José dos Campos,SP,Básico,"19,90",12,36.0,184.31,False,,False
CLI007672,Letícia Moreira,03264751660,2025-03-07,,Natal,RN,Premiun,49.90,9,57.0,19.51,False,,False
CLI006647,Camila Araújo,84524106943,07-03-25,,Maringá,PR,Básico,"19,90",1,8.0,131.41,True,3.0,False
CLI000107,Larissa Cardoso,54042898920,11/09/2025,,Picos,PI,Básico,"19,90",1,,0.0,False,,False
CLI005435,Fernanda Pinto,603.743.741-06,2024-09-05,,Campo Grande,MS,Básico,"R$ 19,90",2,,0.0,True,43.3,False
CLI009610,Débora Gomes,64597620427,14/07/2024,17-04-26,Picos,PI,Básico,"R$ 19,90",6,22.0,16.67,não,,True
CLI005943,Juliana Ferreira,61284287135,2024-12-20,08/04/2026,Duque de Caxias,RJ,Básico,"19,90",1,20.0,14.55,False,,True
CLI008087,Marcelo Silva,319.108.243-26,02-01-26,,Joinville,SC,Premium,"R$ 49,90",10,,0.0,False,,False
CLI004345,Sérgio Carvalho,785.286.865-00,18-03-26,,Contagem,MG,Básico,"19,90",2,8.0,51.3,False,,False
CLI000736,Amanda Ribeiro,446.524.969-51,21/07/2024,,Guarulhos,SP,Básico,"19,90",6,24.0,219.07,False,,False
CLI006122,Débora Moreira,35238524218,14/12/2025,,Patos,PB,Premium,49.90,7,58.0,85.97,False,,False
CLI005397,Rafaela Souza,012.249.190-07,04/01/2024,,Recife,PE,Básico,"19,90",0,33.0,121.11,False,,False
CLI003092,Letícia Araújo,58390710805,04/10/2025,,Janaúba,MG,Básico,"19,90",12,3.0,37.23,False,,False
CLI008535,Beatriz Carvalho,389.474.312-13,24/02/2026,,Curitiba,PR,Básico,"19,90",7,10.0,222.8,False,,False
CLI005099,Karina Moreira,952.258.073-24,31/01/2024,,Itabaiana,SE,Básico,"19,90",9,29.0,118.19,False,,False
CLI004340,Elaine Nunes,097.136.542-07,22-12-24,,Uberlândia,MG,Premium,"49,90",4,27.0,82.38,False,,False
CLI004185,Leonardo Gomes,711.169.063-27,2024-02-14,,Aracaju,SE,Básico,"19,90",3,9.0,779810.23,True,79.1,False
CLI006313,Ricardo Santos,265.102.013-82,2024-02-24,,Garanhuns,PE,Básico,"R$ 19,90",5,,0.0,False,,False
CLI001079,Natália Araújo,34281762758,18/10/2024,,Duque de Caxias,RJ,premium,"49,90",10,34.0,88.85,False,,False
CLI001340,Lucas Costa,60775460798,2025-02-08,19/04/2026,Juiz de Fora,MG,Básico,"19,90",0,35.0,163.3,True,74.1,True
CLI004182,Maria Rocha,97145740016,23-06-24,,Maringá,PR,Premium,49.90,5,16.0,85.89,False,,False
CLI009203,Ana Nunes,413.897.805-85,2025-01-31,,Ribeirão Preto,SP,Premium,"49,90",9,32.0,156.22,False,,False
CLI004658,Daniel Nunes,534.885.533-84,23/07/2025,,São José dos Campos,SP,Básico,"19,90",2,24.0,169.96,False,,False
CLI002944,Daniela Pereira,730.507.884-87,20/05/2025,,Campo Grande,MS,Premium,"R$ 49,90",12,60.0,33.16,False,,False
CLI009462,Guilherme Barbosa,016.136.986-32,31-01-25,,Itabaiana,SE,Premium,"R$ 49,90",3,23.0,188.15,False,,False
CLI002927,Felipe Gomes,044.978.425-16,23/10/2024,,Fortaleza,CE,Básico,"19,90",1,21.0,27.94,False,,False
CLI002237,Rafaela Dias,338.360.547-59,2024-01-11,,Quixadá,CE,Básico,"R$ 19,90",8,33.0,43.9,False,,False
CLI000933,Matheus Mendes,964.978.624-54,20/02/2024,,Patos,PB,Básico,"R$ 19,90",8,8.0,62.62,False,,False
CLI006780,Diego Oliveira,540.107.292-52,04/03/2026,21/04/2026,Caicó,RN,Básico,19.90,12,,0.0,False,,True
CLI009978,Mariana Cavalcanti,99420156862,04-02-24,,São Gonçalo,RJ,Premium,49.90,9,55.0,9.26,False,,False
CLI004373,Carlos Pinto,953.069.166-75,12/07/2025,,Rio de Janeiro,RJ,Básico,"19,90",8,23.0,51.58,False,,False
CLI002914,Beatriz Mendes,202.146.836-55,31/03/2024,30/04/2026,Pirapora,MG,Básico,"19,90",1,26.0,45.73,False,,True
CLI000252,Maria Araújo,050.166.874-73,14/08/2024,,Bragança,PA,Premium,49.90,12,0.0,0.0,False,,False
CLI000484,Lucas Gomes,505.118.394-36,15-11-24,,Maringá,PR,Premium,"R$ 49,90",9,38.0,9.14,False,,False
CLI008258,Karina Vieira,612.876.384-82,04/02/2025,,Belém,PA,Básico,19.90,1,20.0,47.3,False,,False
CLI007282,Carla Lima,15932918967,02-01-25,,Goiânia,GO,Premium,"49,90",1,63.0,81.43,False,,False
CLI003039,Daniela Dias,996.946.266-98,20/05/2025,,Porto Alegre,RS,Premium,"49,90",2,49.0,411239.93,True,3.4,False
CLI006682,Ricardo Silva,477.407.728-46,25-05-24,,Manaus,AM,Básico,19.90,0,19.0,5.43,True,10.1,False
